blade station,type,x1,x2,x3,pitch axis,lower SW ref pt fraction,upper SW ref pt fraction,twist,k2,k3,airfoil,chord,thickness-to-chord ratio,airfoil upper,chord upper,thickness-to-chord ratio upper,gap-to-chord ratio,gap fraction,stagger-to-chord ratio,root buildup height,spar cap base,spar cap height,shear web 1 base biax,shear web 1 base foam,shear web 1 x2,shear web 2 base biax,shear web 2 base foam,shear web 2 x2,shear web 3 base biax,shear web 3 base foam,shear web 3 x2,TE reinf base,TE reinf height uniax,TE reinf height foam,LE panel height,aft panel height,internal surface height triax,internal surface height resin,external surface height triax,external surface height gelcoat,root buildup height upper,spar cap base upper,spar cap height upper,shear web 1 base biax upper,shear web 1 base foam upper,shear web 1 x2 upper,shear web 2 base biax upper,shear web 2 base foam upper,shear web 2 x2 upper,shear web 3 base biax upper,shear web 3 base foam upper,shear web 3 x2 upper,TE reinf base upper,TE reinf height uniax upper,TE reinf height foam upper,LE panel height upper,aft panel height upper,internal surface height triax upper,internal surface height resin upper,external surface height triax upper,external surface height gelcoat upper,comment
13,biplane,14.6,0,0,0.41,0.41,0.41,13.308,0,0,airfoil13,7.215,0.255,airfoil13,7.215,0.255,1.322,0.5,0,,1.5,0.047,0.003,0.08,-0.75,0.003,0.08,0.75,0.003,0.08,2.66955,1,0.02,0.03,0.03,0.05,0.005,0.005,0.005,0.0006,,1.5,0.047,0.003,0.08,-0.75,0.003,0.08,0.75,0.003,0.08,2.66955,1,0.02,0.03,0.03,0.05,0.005,0.005,0.005,0.0006,"third shear web begins, placed at 78% chord (from LE)"
14,biplane,16.3,0,0,0.4,0.4,0.4,13.177,0,0,airfoil14,7.404,0.235,airfoil14,7.404,0.235,1.288,0.5,0,,1.5,0.0555,0.003,0.08,-0.75,0.003,0.08,0.75,0.003,0.08,2.593621096,1,0.025,0.03,0.03,0.03,0.005,0.005,0.005,0.0006,,1.5,0.0555,0.003,0.08,-0.75,0.003,0.08,0.75,0.003,0.08,2.593621096,1,0.025,0.03,0.03,0.03,0.005,0.005,0.005,0.0006,
15,biplane,17.9,0,0,0.39,0.39,0.39,13.046,0,0,airfoil15,7.552,0.2175,airfoil15,7.552,0.2175,1.263,0.5,0,,1.5,0.0595,0.003,0.08,-0.75,0.003,0.08,0.75,0.003,0.08,2.541725658,1,0.03,0.03,0.03,0.03,0.005,0.005,0.005,0.0006,,1.5,0.0595,0.003,0.08,-0.75,0.003,0.08,0.75,0.003,0.08,2.541725658,1,0.03,0.03,0.03,0.03,0.005,0.005,0.005,0.0006,
16,biplane,19.5,0,0,0.38,0.38,0.38,12.915,0,0,airfoil16,7.628,0.2025,airfoil16,7.628,0.2025,1.25,0.5,0,,1.5,0.068,0.003,0.08,-0.75,0.003,0.08,0.75,0.003,0.08,2.520150219,1,0.03,0.03,0.03,0.03,0.005,0.005,0.005,0.0006,,1.5,0.068,0.003,0.08,-0.75,0.003,0.08,0.75,0.003,0.08,2.520150219,1,0.03,0.03,0.03,0.03,0.005,0.005,0.005,0.0006,maximum chord
17,biplane,22.2,0,0,0.378,0.378,0.378,12.133,0,0,airfoil17,7.585,0.19,airfoil17,7.585,0.19,1.257,0.5,0,,1.5,0.068,0.003,0.08,-0.75,0.003,0.08,0.75,0.003,0.08,2.436546667,1,0.03,0.03,0.03,0.03,0.005,0.005,0.005,0.0006,,1.5,0.068,0.003,0.08,-0.75,0.003,0.08,0.75,0.003,0.08,2.436546667,1,0.03,0.03,0.03,0.03,0.005,0.005,0.005,0.0006,
18,biplane,24.9,0,0,0.377,0.377,0.377,11.35,0,0,airfoil18,7.488,0.18,airfoil18,7.488,0.18,1.274,0.5,0,,1.5,0.068,0.003,0.08,-0.75,0.003,0.08,0.75,0.003,0.08,2.365587114,1,0.03,0.03,0.03,0.03,0.005,0.005,0.005,0.0006,,1.5,0.068,0.003,0.08,-0.75,0.003,0.08,0.75,0.003,0.08,2.365587114,1,0.03,0.03,0.03,0.03,0.005,0.005,0.005,0.0006,
19,biplane,27.6,0,0,0.375,0.375,0.375,10.568,0,0,DU93-W-210_20pt4,7.347,0.204,DU93-W-210_20pt4,7.347,0.204,1.298,0.5,0,,1.5,0.064,0.003,0.08,-0.75,0.003,0.08,0.75,0.003,0.08,2.318324561,1,0.015,0.02,0.03,0.03,0.005,0.005,0.005,0.0006,,1.5,0.064,0.003,0.08,-0.75,0.003,0.08,0.75,0.003,0.08,2.318324561,1,0.015,0.02,0.03,0.03,0.005,0.005,0.005,0.0006,corresponds to station 19 of the Sandia blade
20,biplane,30.333,0,0,0.375,0.375,0.375,10.101,0,0,DU93-W-210_20pt6,7.206,0.206,DU93-W-210_20pt6,7.206,0.206,1.2,0.5,0,,1.5,0.0625,0.003,0.08,-0.75,0.003,0.08,0.75,0.003,0.08,2.255,1,0.015,0.0165,0.03,0.03,0.005,0.005,0.005,0.0006,,1.5,0.0625,0.003,0.08,-0.75,0.003,0.08,0.75,0.003,0.08,2.255,1,0.015,0.0165,0.03,0.03,0.005,0.005,0.005,0.0006,
21,biplane,33.067,0,0,0.375,0.375,0.375,9.633,0,0,DU93-W-210_20pt8,7.064,0.208,DU93-W-210_20pt8,7.064,0.208,1.1,0.5,0,,1.5,0.061,0.003,0.08,-0.75,0.003,0.08,0.75,0.003,0.08,2.191,1,0.015,0.0135,0.03,0.03,0.005,0.005,0.005,0.0006,,1.5,0.061,0.003,0.08,-0.75,0.003,0.08,0.75,0.003,0.08,2.191,1,0.015,0.0135,0.03,0.03,0.005,0.005,0.005,0.0006,
22,biplane,35.8,0,0,0.375,0.375,0.375,9.166,0,0,DU93-W-210,6.923,0.21,DU93-W-210,6.923,0.21,1,0.5,0,,1.5,0.0595,0.003,0.08,-0.75,0.003,0.08,0.75,0.003,0.08,2.127720439,1,0.015,0.01,0.03,0.03,0.005,0.005,0.005,0.0006,,1.5,0.0595,0.003,0.08,-0.75,0.003,0.08,0.75,0.003,0.08,2.127720439,1,0.015,0.01,0.03,0.03,0.005,0.005,0.005,0.0006,corresponds to station 20 of the Sandia blade
23,biplane,38.5,0,0,0.375,0.375,0.375,8.673,0,0,DU93-W-210_22pt6,6.758,0.226,DU93-W-210_22pt6,6.758,0.226,0.85,0.5,0,,1.5,0.058,0.003,0.08,-0.75,0.003,0.08,0.75,0.003,0.08,2.074,1,0.0125,0.0085,0.03,0.03,0.005,0.005,0.005,0.0006,,1.5,0.058,0.003,0.08,-0.75,0.003,0.08,0.75,0.003,0.08,2.074,1,0.0125,0.0085,0.03,0.03,0.005,0.005,0.005,0.0006,
24,biplane,41.2,0,0,0.375,0.375,0.375,8.181,0,0,DU91-W2-250_24pt3,6.594,0.243,DU91-W2-250_24pt3,6.594,0.243,0.6,0.5,0,,1.5,0.057,0.003,0.08,-0.75,0.003,0.08,0.75,0.003,0.08,2.021,1,0.01,0.0065,0.03,0.03,0.005,0.005,0.005,0.0006,,1.5,0.057,0.003,0.08,-0.75,0.003,0.08,0.75,0.003,0.08,2.021,1,0.01,0.0065,0.03,0.03,0.005,0.005,0.005,0.0006,
25,monoplane,43.9,0,0,0.375,,,7.688,0,0,DU91-W2-250_26,6.429,0.26,,,,0,,,,1.5,0.111,0.003,0.08,-0.75,0.003,0.08,0.75,0.003,0.08,1.967629781,1,0.015,0.01,0.06,0.06,0.005,0.005,0.005,0.0006,,,,,,,,,,,,,,,,,,,,,,identical to station 21 of the Sandia blade
26,monoplane,46.6,0,0,0.375,,,7.185,0,0,airfoil26,6.258,0.251,,,,0,,,,1.5,0.108,0.003,0.08,-0.75,0.003,0.08,0.75,0.003,0.08,1.917,1,0.013,0.01,0.06,0.06,0.005,0.005,0.005,0.0006,,,,,,,,,,,,,,,,,,,,,,added station between Sandia blade stations 21 and 22
27,monoplane,49.3,0,0,0.375,,,6.683,0,0,airfoil27,6.086,0.241,,,,0,,,,1.5,0.105,0.003,0.08,-0.75,0.003,0.08,0.75,0.003,0.08,1.866,1,0.01,0.01,0.06,0.06,0.005,0.005,0.005,0.0006,,,,,,,,,,,,,,,,,,,,,,
28,monoplane,52,0,0,0.375,,,6.18,0,0,DU93-W-210_23,5.915,0.23,,,,0,,,,1.5,0.102,0.003,0.08,-0.75,0.003,0.08,0.75,0.003,0.08,1.815039123,1,0.008,0.01,0.06,0.06,0.005,0.005,0.005,0.0006,,,,,,,,,,,,,,,,,,,,,,identical to station 22 of the Sandia blade (same for other stations farther outboard)
29,monoplane,60.2,0,0,0.375,,,4.743,0,0,DU93-W-210,5.417,0.21,,,,0,,,,1.5,0.085,0.003,0.08,-0.75,0.003,0.08,0.75,0.003,0.08,1.652185,1,0.004,0.01,0.06,0.06,0.005,0.005,0.005,0.0006,,,,,,,,,,,,,,,,,,,,,,"third shear web ends, placed at 68% chord (from LE)"
30,monoplane,66.7,0,0,0.375,,,3.633,0,0,NACA_64-618_19,5.019,0.19,,,,0,,,,1.5,0.068,0.003,0.08,-0.75,0.003,0.08,0.75,,,,1,0.004,0.01,0.06,0.06,0.005,0.005,0.005,0.0006,,,,,,,,,,,,,,,,,,,,,,
31,monoplane,68.3,0,0,0.375,,,3.383,0,0,NACA_64-618_18pt5,4.92,0.185,,,,0,,,,1.5,0.064,0.003,0.08,-0.75,0.003,0.08,0.75,,,,1,0.004,0.01,0.055,0.055,0.005,0.005,0.005,0.0006,,,,,,,,,,,,,,,,,,,,,,
32,monoplane,73.2,0,0,0.375,,,2.735,0,0,NACA_64-618,4.621,0.18,,,,0,,,,1.5,0.047,0.003,0.08,-0.75,0.003,0.08,0.75,,,,1,0.004,0.01,0.045,0.045,0.005,0.005,0.005,0.0006,,,,,,,,,,,,,,,,,,,,,,
33,monoplane,76.4,0,0,0.375,,,2.348,0,0,NACA_64-618,4.422,0.18,,,,0,,,,1.5,0.034,0.003,0.08,-0.75,0.003,0.08,0.75,,,,1,0.004,0.01,0.03,0.03,0.005,0.005,0.005,0.0006,,,,,,,,,,,,,,,,,,,,,,
34,monoplane,84.6,0,0,0.375,,,1.38,0,0,NACA_64-618,3.925,0.18,,,,0,,,,1.5,0.017,0.003,0.08,-0.75,0.003,0.08,0.75,,,,1,0.004,0.01,0.015,0.015,0.005,0.005,0.005,0.0006,,,,,,,,,,,,,,,,,,,,,,
35,monoplane,89.4,0,0,0.375,,,0.799,0,0,NACA_64-618,3.619,0.18,,,,0,,,,1.5,0.009,0.003,0.08,-0.75,0.003,0.08,0.75,,,,1,0.004,0.01,0.01,0.01,0.005,0.005,0.005,0.0006,,,,,,,,,,,,,,,,,,,,,,
36,monoplane,94.3,0,0,0.375,,,0.28,0,0,NACA_64-618,2.824,0.18,,,,0,,,,1.5,0.005,0.003,0.08,-0.75,0.003,0.08,0.75,,,,0.932,0.004,0.01,0.005,,0.005,0.005,0.005,0.0006,,,,,,,,,,,,,,,,,,,,,,"main shear webs end, TE reinf base begins to taper, biplane spar tip"
37,monoplane,95.7,0,0,0.375,,,0.21,0,0,NACA_64-618,2.375,0.18,,,,0,,,,1.261,0.005,,,,,,,,,,0.854,0.004,0.01,0.005,,0.005,0.005,0.005,0.0006,,,,,,,,,,,,,,,,,,,,,,
38,monoplane,97.2,0,0,0.375,,,0.14,0,0,NACA_64-618,1.836,0.18,,,,0,,,,0.975,0.005,,,,,,,,,,0.66,0.004,0.01,0.005,,0.005,0.005,0.005,0.0006,,,,,,,,,,,,,,,,,,,,,,
39,monoplane,98.6,0,0,0.375,,,0.07,0,0,NACA_64-618,1.208,0.18,,,,0,,,,0.641,0.005,,,,,,,,,,0.434,0.004,0.01,0.005,,0.005,0.005,0.005,0.0006,,,,,,,,,,,,,,,,,,,,,,
40,monoplane,100,0,0,0.375,,,0,0,0,NACA_64-618,0.1,0.18,,,,0,,,,,,,,,,,,,,,,,,,,0.005,0.005,0.005,0.0006,,,,,,,,,,,,,,,,,,,,,,
